# Soundtracks without matched cover art (248)
# Format: region | title | NSF path
# Add or identify a cover, then use the same lowercase kebab-case filename stem.

Famicom | Famicom Tantei Club 2 | NES-Gamemusic/Famicom/Nintendo/Famicom_Tantei_Club_2.nsf
Famicom | Famicom Wars | NES-Gamemusic/Famicom/Nintendo/Famicom_Wars.nsf
Famicom | Family Circuit | NES-Gamemusic/Famicom/Namco/Family_Circuit.nsf
Famicom | Fantasy Zone 2 | NES-Gamemusic/Famicom/Sunsoft/Fantasy_Zone_2.nsf
Famicom | Fantasy Zone FC | NES-Gamemusic/Famicom/Sunsoft/Fantasy_Zone_FC.nsf
Famicom | Final Fantasy 2 | NES-Gamemusic/Famicom/Square/Final_Fantasy_2.nsf
Famicom | Final Fantasy 3 | NES-Gamemusic/Famicom/Square/Final_Fantasy_3.nsf
Famicom | Final Lap | NES-Gamemusic/Famicom/Namco/Final_Lap.nsf
Famicom | Final Mission | NES-Gamemusic/Famicom/Natsume/Final_Mission.nsf
Famicom | Fire Emblem | NES-Gamemusic/Famicom/Nintendo/Fire_Emblem.nsf
Famicom | Fire Emblem Gaiden | NES-Gamemusic/Famicom/Nintendo/Fire_Emblem_Gaiden.nsf
Famicom | Flappy | NES-Gamemusic/Famicom/db_Soft/Flappy.nsf
Famicom | Ganbare Goemon | NES-Gamemusic/Famicom/Konami/Ganbare_Goemon.nsf
Famicom | Ganbare Goemon 2 | NES-Gamemusic/Famicom/Konami/Ganbare_Goemon_2.nsf
Famicom | Gegege No Kitarou 2 | NES-Gamemusic/Famicom/Bandai/Gegege_No_Kitarou_2.nsf
Famicom | Getsufuu Maden | NES-Gamemusic/Famicom/Konami/Getsufuu_Maden.nsf
Famicom | Gimmick | NES-Gamemusic/Famicom/Sunsoft/Gimmick.nsf
Famicom | Goonies | NES-Gamemusic/Famicom/Konami/Goonies.nsf
Famicom | Gorilla Man | NES-Gamemusic/Famicom/Yonezawa/Gorilla_Man.nsf
Famicom | Hanjuku Hero | NES-Gamemusic/Famicom/Square/Hanjuku_Hero.nsf
Famicom | Hebereke | NES-Gamemusic/Famicom/Sunsoft/Hebereke.nsf
Famicom | Heisei Tensai Bakabon | NES-Gamemusic/Famicom/Namco/Heisei_Tensai_Bakabon.nsf
Famicom | Hello Kitty World | NES-Gamemusic/Famicom/Character_Soft/Hello_Kitty_World.nsf
Famicom | Hercules no Eikou | NES-Gamemusic/Famicom/Data_East/Hercules_no_Eikou.nsf
Famicom | Hercules no Eikou 2 | NES-Gamemusic/Famicom/Data_East/Hercules_no_Eikou_2.nsf
Famicom | Hi no Tori | NES-Gamemusic/Famicom/Konami/Hi_no_Tori.nsf
Famicom | Hyaku no Sekai no Monogatari | NES-Gamemusic/Famicom/Ask_Kodansha/Hyaku_no_Sekai_no_Monogatari.nsf
Famicom | Ice Climber FDS | NES-Gamemusic/Famicom/Nintendo/Ice_Climber_FDS.nsf
Famicom | Idol Hakkenden | NES-Gamemusic/Famicom/Towa_Chiki/Idol_Hakkenden.nsf
Famicom | Insector X | NES-Gamemusic/Famicom/Taito/Insector_X.nsf
Famicom | Itadaki Street | NES-Gamemusic/Famicom/Ascii/Itadaki_Street.nsf
Famicom | J League Fighting Soccer | NES-Gamemusic/Famicom/IGS/J_League_Fighting_Soccer.nsf
Famicom | Jesus | NES-Gamemusic/Famicom/King_Records/Jesus.nsf
Famicom | Joy Mecha Fight | NES-Gamemusic/Famicom/Nintendo/Joy_Mecha_Fight.nsf
Famicom | Just Breed | NES-Gamemusic/Famicom/Enix/Just_Breed.nsf
Famicom | Kai no Bouken | NES-Gamemusic/Famicom/Namco/Kai_no_Bouken.nsf
Famicom | Kaijuu Monogatari | NES-Gamemusic/Famicom/Namco/Kaijuu_Monogatari.nsf
Famicom | Kamen Rider Club | NES-Gamemusic/Famicom/Bandai/Kamen_Rider_Club.nsf
Famicom | Keru Naguuru | NES-Gamemusic/Famicom/Namco/Keru_Naguuru.nsf
Famicom | Kiken na Futari | NES-Gamemusic/Famicom/Data_East/Kiken_na_Futari.nsf
Famicom | KikiKaikai | NES-Gamemusic/Famicom/Taito/KikiKaikai.nsf
Famicom | King Kong 2 | NES-Gamemusic/Famicom/Konami/King_Kong_2.nsf
Famicom | King of Kings | NES-Gamemusic/Famicom/Namco/King_of_Kings.nsf
Famicom | Kunio no Jidaigekidayo | NES-Gamemusic/Famicom/Technos/Kunio_no_Jidaigekidayo.nsf
Famicom | Kyattou Ninden Teyande | NES-Gamemusic/Famicom/Tecmo/Kyattou_Ninden_Teyande.nsf
Famicom | Labyrinth | NES-Gamemusic/Famicom/Tokuma_Shoten/Labyrinth.nsf
Famicom | Lagrange Point | NES-Gamemusic/Famicom/Konami/Lagrange_Point.nsf
Famicom | Lasalle Ishii no Childs Quest | NES-Gamemusic/Famicom/Namco/Lasalle_Ishii_no_Childs_Quest.nsf
Famicom | Last Armageddon | NES-Gamemusic/Famicom/Bandai/Last_Armageddon.nsf
Famicom | Link no Bouken | NES-Gamemusic/Famicom/Nintendo/Link_no_Bouken.nsf
Famicom | Madara | NES-Gamemusic/Famicom/Konami/Madara.nsf
Famicom | Majin Eiyuuden Wataru Gaiden | NES-Gamemusic/Famicom/Hudson_Soft/Majin_Eiyuuden_Wataru_Gaiden.nsf
Famicom | Makaijima | NES-Gamemusic/Famicom/Capcom/Makaijima.nsf
Famicom | Mappy Kids | NES-Gamemusic/Famicom/Namco/Mappy_Kids.nsf
Famicom | Mario Open Golf | NES-Gamemusic/Famicom/Nintendo/Mario_Open_Golf.nsf
Famicom | Maten Douji | NES-Gamemusic/Famicom/Asmik/Maten_Douji.nsf
Famicom | Maze of Galious 2 | NES-Gamemusic/Famicom/Konami/Maze_of_Galious_2.nsf
Famicom | Megami Tensei | NES-Gamemusic/Famicom/Namco/Megami_Tensei.nsf
Famicom | Megami Tensei II | NES-Gamemusic/Famicom/Namco/Megami_Tensei_II.nsf
Famicom | Meikyuu Jiin Dababa | NES-Gamemusic/Famicom/Konami/Meikyuu_Jiin_Dababa.nsf
Famicom | Metal Max | NES-Gamemusic/Famicom/Data_East/Metal_Max.nsf
Famicom | Metroid FDS | NES-Gamemusic/Famicom/Nintendo/Metroid_FDS.nsf
Famicom | Minelvaton Saga | NES-Gamemusic/Famicom/Taito/Minelvaton_Saga.nsf
Famicom | Mito Koumon | NES-Gamemusic/Famicom/Sunsoft/Mito_Koumon.nsf
Famicom | Moon Crystal | NES-Gamemusic/Famicom/Hector/Moon_Crystal.nsf
Famicom | Musashi no Bouken | NES-Gamemusic/Famicom/Sigma/Musashi_no_Bouken.nsf
Famicom | Nadia Secret of Blue Water | NES-Gamemusic/Famicom/Toho/Nadia_Secret_of_Blue_Water.nsf
Famicom | Nante tta tte Baseball | NES-Gamemusic/Famicom/Sunsoft/Nante_tta_tte_Baseball.nsf
Famicom | Nazo no Kabe | NES-Gamemusic/Famicom/Konami/Nazo_no_Kabe.nsf
Famicom | Nazo no Murasamejou | NES-Gamemusic/Famicom/Nintendo/Nazo_no_Murasamejou.nsf
Famicom | Nekketsu Hockey | NES-Gamemusic/Famicom/Technos/Nekketsu_Hockey.nsf
Famicom | Ninja Hattori Kun | NES-Gamemusic/Famicom/Hudson_Soft/Ninja_Hattori_Kun.nsf
Famicom | Ninja kun Ashura no Sho | NES-Gamemusic/Famicom/UPL/Ninja_kun_Ashura_no_Sho.nsf
Famicom | Nuts and Milk | NES-Gamemusic/Famicom/Hudson_Soft/Nuts_and_Milk.nsf
Famicom | Obake no Q tarou | NES-Gamemusic/Famicom/Bandai/Obake_no_Q_tarou.nsf
Famicom | Okhotsk ni Shoyu | NES-Gamemusic/Famicom/Login_Soft/Okhotsk_ni_Shoyu.nsf
Famicom | Over Horizon | NES-Gamemusic/Famicom/Hot_B/Over_Horizon.nsf
Famicom | Palutena no Kagami | NES-Gamemusic/Famicom/Nintendo/Palutena_no_Kagami.nsf
Famicom | Parallel World | NES-Gamemusic/Famicom/Varie/Parallel_World.nsf
Famicom | Pizza Pop | NES-Gamemusic/Famicom/Jaleco/Pizza_Pop.nsf
